Date,Open,High,Low,Close,Adj Close,Volume
2001-06-05,40.54999923706055,40.75,40.54999923706055,40.54999923706055,30.376665115356445,3800
2001-06-06,40.54999923706055,40.9900016784668,40.54999923706055,40.79999923706055,30.56393814086914,1200
2001-06-07,41.0,41.0,40.68000030517578,40.68000030517578,30.474027633666992,5300
2001-06-08,40.7400016784668,40.7400016784668,40.400001525878906,40.400001525878906,30.26429557800293,1600
2001-06-11,40.400001525878906,40.720001220703125,40.33000183105469,40.33000183105469,30.211862564086914,1300
2001-06-12,40.5099983215332,40.5099983215332,40.400001525878906,40.400001525878906,30.26429557800293,1000
2001-06-13,40.33000183105469,40.599998474121094,40.29999923706055,40.310001373291016,30.196882247924805,2700
2001-06-14,40.720001220703125,40.720001220703125,40.22999954223633,40.22999954223633,30.136947631835938,2700
2001-06-15,40.459999084472656,40.459999084472656,40.0,40.04999923706055,30.002105712890625,5100
2001-06-18,39.95000076293945,39.95000076293945,39.790000915527344,39.849998474121094,29.85227394104004,4200
2001-06-19,39.79999923706055,40.45000076293945,39.79999923706055,39.849998474121094,29.85227394104004,2100
2001-06-20,39.849998474121094,40.45000076293945,39.099998474121094,39.849998474121094,29.85227394104004,6100
2001-06-21,40.540000915527344,40.540000915527344,39.869998931884766,40.0,29.964641571044922,7800
2001-06-22,40.29999923706055,40.66999816894531,39.52000045776367,39.70000076293945,29.739913940429688,7600
2001-06-25,40.5,40.5,39.56999969482422,40.0099983215332,29.97213363647461,2800
2001-06-26,39.54999923706055,39.849998474121094,39.5099983215332,39.5099983215332,29.597579956054688,2900
2001-06-27,39.95000076293945,39.95000076293945,39.349998474121094,39.900001525878906,29.889732360839844,2200
2001-06-28,39.880001068115234,39.900001525878906,39.369998931884766,39.900001525878906,29.889732360839844,83300
